sample_idx,has_hemorrhage,iou_hemorrhage,iou_background,mean_iou,true_positives,false_positives,false_negatives,true_negatives,sensitivity,specificity,precision,recall,dice
1134,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1135,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1136,True,0.5909,0.9993,0.7951,65,45,0,65426,1.0,0.9993,0.5909,1.0,0.7429
1137,True,0.0,0.9804,0.4902,0,16,1267,64253,0.0,0.9998,0.0,0.0,0.0
1138,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1139,True,0.0815,0.9942,0.5378,34,132,251,65119,0.1193,0.998,0.2048,0.1193,0.1508
1140,False,0.0,1.0,0.5,0,1,0,65535,N/A,1.0,0.0,N/A,0.0
1141,True,0.0087,0.9861,0.4974,8,0,910,64618,0.0087,1.0,1.0,0.0087,0.0173
1142,True,0.795,0.9963,0.8957,927,63,176,64370,0.8404,0.999,0.9364,0.8404,0.8858
1143,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1144,True,0.1168,0.9971,0.557,25,2,187,65322,0.1179,1.0,0.9259,0.1179,0.2092
1145,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1146,True,0.0,0.9972,0.4986,0,0,181,65355,0.0,1.0,N/A,0.0,0.0
1147,True,0.9139,0.9977,0.9558,1593,74,76,63793,0.9545,0.9988,0.9556,0.9545,0.955
1148,True,0.7056,0.9964,0.851,556,204,28,64748,0.9521,0.9969,0.7316,0.9521,0.8274
1149,True,0.0,0.9984,0.4992,0,0,102,65434,0.0,1.0,N/A,0.0,0.0
1150,True,0.5481,0.9934,0.7708,518,351,76,64591,0.8721,0.9946,0.5961,0.8721,0.7081
1151,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1152,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1153,True,0.7298,0.9962,0.863,670,243,5,64618,0.9926,0.9963,0.7338,0.9926,0.8438
1154,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1155,True,0.8276,0.997,0.9123,917,173,18,64428,0.9807,0.9973,0.8413,0.9807,0.9057
1156,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1157,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1158,True,0.8252,0.9996,0.9124,118,16,9,65393,0.9291,0.9998,0.8806,0.9291,0.9042
1159,True,0.303,0.9989,0.651,30,1,68,65437,0.3061,1.0,0.9677,0.3061,0.4651
1160,False,0.0,0.9988,0.4994,0,81,0,65455,N/A,0.9988,0.0,N/A,0.0
1161,True,0.0828,0.998,0.5404,12,0,133,65391,0.0828,1.0,1.0,0.0828,0.1529
1162,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1163,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1164,True,0.0,0.9727,0.4864,0,43,1743,63750,0.0,0.9993,0.0,0.0,0.0
1165,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1166,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1167,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1168,True,0.0,0.964,0.482,0,0,2360,63176,0.0,1.0,N/A,0.0,0.0
1169,True,0.3171,0.9996,0.6583,13,3,25,65495,0.3421,1.0,0.8125,0.3421,0.4815
